workerid,proliferate.condition,correct,response,result,rt,stimulus
122,Mandarin_English_some,,"{'age': '26', 'P0_Q0': None, 'gender': 'Male', 'education': 'Some graduate school', 'disability': [], 'place of residence': 'Australia', 'disability explanation': ''}",,21547,
122,Mandarin_English_some,,"{'P0_Q0': None, 'eng ok age': 11, 'eng edu year': 12, 'eng start age': 6, 'Mandarin ok age': 5, 'eng country year': 17, 'English work year': 11, 'Mandarin edu year': '20+', 'Mandarin start age': 1, 'Mandarin work year': 5, 'English family year': 11, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,58849,
122,Mandarin_English_some,,"{'P0_Q0': None, 'eng count time': '80%', 'eng family time': '60%', 'eng friend time': '50%', 'Eng self talk time': '70%', 'English school time': '90%', 'Mandarin count time': '90%', 'Mandarin family time': '40%', 'Mandarin friend time': '70%', 'Mandarin school time': '40%', 'Mandarin self talk time': '100%', 'other language count time': '20%', 'other langauge family time': '0%', 'other language friend time': '70%', 'other languages school time': '80%', 'other language self talk time': '10%'}",,51941,
122,Mandarin_English_some,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 5, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,11830,
122,Mandarin_English_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 2, 'Mandarin native': 4, 'eng cultural id': 4, 'eng attitude speak': 6, 'Mandarin other eval': 6, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 4}",,14182,
102,Mandarin_English_some,,"{'age': '26', 'P0_Q0': None, 'gender': 'Female', 'education': 'Masters', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,55273,
102,Mandarin_English_some,,"{'P0_Q0': None, 'eng ok age': '20+', 'eng edu year': 7, 'eng start age': 6, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 4, 'English work year': 3, 'Mandarin edu year': 16, 'Mandarin start age': 'since birth', 'Mandarin work year': 1, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,125980,
102,Mandarin_English_some,,"{'P0_Q0': None, 'eng count time': '40%', 'eng family time': '0%', 'eng friend time': '40%', 'Eng self talk time': '10%', 'English school time': '100%', 'Mandarin count time': '50%', 'Mandarin family time': '100%', 'Mandarin friend time': '60%', 'Mandarin school time': '0%', 'Mandarin self talk time': '90%', 'other language count time': '10%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,161692,
102,Mandarin_English_some,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 3, 'eng prof write': 3, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 4, 'Mandarin prof understand': 6}",,29720,
102,Mandarin_English_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 5, 'Mandarin native': 6, 'eng cultural id': 0, 'eng attitude speak': 1, 'Mandarin other eval': 6, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,29073,
110,Mandarin_English_some,,"{'age': '21', 'P0_Q0': None, 'gender': 'Male', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'Canada', 'disability explanation': ''}",,30633,
110,Mandarin_English_some,,"{'P0_Q0': None, 'eng ok age': 15, 'eng edu year': 14, 'eng start age': 5, 'Mandarin ok age': 3, 'eng country year': 7, 'English work year': 7, 'Mandarin edu year': '20+', 'Mandarin start age': 1, 'Mandarin work year': 15, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': 15}",,91577,
110,Mandarin_English_some,,"{'P0_Q0': None, 'eng count time': '0%', 'eng family time': '0%', 'eng friend time': '20%', 'Eng self talk time': '20%', 'English school time': '40%', 'Mandarin count time': '100%', 'Mandarin family time': '100%', 'Mandarin friend time': '80%', 'Mandarin school time': '60%', 'Mandarin self talk time': '80%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,54708,
110,Mandarin_English_some,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 3, 'eng prof write': 3, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 4, 'eng prof understand': 4, 'Mandarin prof understand': 6}",,52524,
110,Mandarin_English_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 0, 'Mandarin native': 6, 'eng cultural id': 0, 'eng attitude speak': 1, 'Mandarin other eval': 3, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,45497,
